customer_id,age,balance,job_type,marital_status,education_level,contact_type,num_transactions,avg_transaction_value,churn
1,56,2020,blue_collar,single,secondary,phone,15,46.22,1
2,69,7917,entrepreneur,single,secondary,email,35,209.5,0
3,46,11783,white_collar,single,tertiary,email,7,175.29,1
4,32,11436,blue_collar,divorced,tertiary,email,29,394.74,0
5,60,15696,blue_collar,divorced,secondary,sms,44,211.04,0
6,25,2193,blue_collar,divorced,tertiary,phone,22,345.45,0
7,38,13005,student,married,tertiary,phone,23,305.19,0
8,56,8467,entrepreneur,married,secondary,phone,24,488.06,0
9,36,5385,blue_collar,single,primary,email,35,469.51,0
10,40,10996,student,divorced,tertiary,phone,10,219.57,0
11,28,5037,student,single,tertiary,sms,8,364.55,1
12,28,16853,blue_collar,divorced,primary,sms,48,416.44,0
13,41,18302,blue_collar,single,primary,phone,48,450.45,0
14,53,18585,white_collar,married,primary,email,12,43.39,0
15,57,13077,blue_collar,divorced,secondary,sms,29,158.02,0
16,41,19974,white_collar,married,primary,sms,29,166.91,0
17,20,18263,blue_collar,divorced,secondary,email,23,222.88,0
18,39,7774,blue_collar,single,primary,email,26,92.94,0
19,19,17848,entrepreneur,divorced,primary,phone,37,253.14,0
20,41,3776,blue_collar,married,secondary,sms,32,334.98,0
21,61,2526,blue_collar,divorced,secondary,sms,38,253.71,0
22,47,3062,white_collar,single,primary,phone,6,336.24,1
23,55,959,white_collar,divorced,primary,phone,8,42.56,1
24,19,12148,entrepreneur,married,primary,sms,17,439.23,0
25,38,4238,blue_collar,single,tertiary,sms,12,470.14,1
26,50,2524,blue_collar,married,primary,email,22,312.77,0
27,29,10509,white_collar,divorced,secondary,email,14,441.88,0
28,39,4117,student,married,tertiary,sms,34,74.41,0
29,61,10551,student,divorced,secondary,sms,19,400.75,0
30,42,10378,student,single,tertiary,email,6,68.38,1
31,66,11096,white_collar,married,tertiary,phone,18,209.93,0
32,44,1234,white_collar,married,secondary,phone,36,168.67,0
33,59,5219,student,divorced,tertiary,sms,37,296.94,0
34,45,5794,student,married,secondary,sms,38,157.74,0
35,33,4264,blue_collar,married,primary,email,15,322.28,0
36,32,18830,white_collar,single,tertiary,sms,38,190.02,0
37,64,5139,white_collar,divorced,secondary,phone,40,431.79,0
38,68,14731,student,divorced,tertiary,email,9,320.6,0
39,61,10542,student,single,secondary,email,6,115.5,1
40,69,8352,entrepreneur,single,primary,phone,2,174.7,1
41,20,17821,white_collar,divorced,primary,phone,16,425.24,0
42,54,17668,entrepreneur,single,tertiary,email,1,199.38,1
43,68,1651,blue_collar,single,tertiary,sms,30,272.54,1
44,24,12725,entrepreneur,single,secondary,phone,48,327.98,0
45,38,1729,student,divorced,secondary,email,33,180.43,0
46,26,18010,white_collar,single,tertiary,sms,1,154.05,1
47,56,1461,white_collar,married,secondary,sms,39,242.87,0
