ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Children,Dt_Customer,Customer_Tenure,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalSpend,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,TotalPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,PreviousCampaignAcceptedTotal,CampaignAcceptedTotal,Complain,SpendPercentile,CustomerValueSegment,RetentionSegment
5524,1957,57,Graduation,Single,58138.0,0,0,0,2012-09-04,663,58,635,88,546,172,88,88,1617,3,8,10,4,7,25,0,0,0,0,0,1,0,1,0,0.9194494584837545,High Value,Champions
2174,1954,60,Graduation,Single,46344.0,1,1,2,2014-03-08,113,38,11,1,6,2,1,6,27,2,1,1,2,5,6,0,0,0,0,0,0,0,0,0,0.06994584837545126,Low Value,Low Value
4141,1965,49,Graduation,Together,71613.0,0,0,0,2013-08-21,312,26,426,49,127,111,21,42,776,1,8,2,10,4,21,0,0,0,0,0,0,0,0,0,0.64485559566787,Mid Value,Potential Loyalists
6182,1984,30,Graduation,Together,26646.0,1,0,1,2014-02-10,139,26,11,4,20,10,3,5,53,2,2,0,4,6,8,0,0,0,0,0,0,0,0,0,0.1865974729241877,Low Value,Low Value
5324,1981,33,PhD,Married,58293.0,1,0,1,2014-01-19,161,94,173,43,118,46,27,15,422,5,5,3,6,5,19,0,0,0,0,0,0,0,0,0,0.5171480144404332,Mid Value,Loyal Customers
7446,1967,47,Master,Together,62513.0,0,1,1,2013-09-09,293,16,520,42,98,0,42,14,716,2,6,4,10,6,22,0,0,0,0,0,0,0,0,0,0.625,Mid Value,Potential Loyalists
965,1971,43,Graduation,Divorced,55635.0,0,1,1,2012-11-13,593,34,235,65,164,50,49,27,590,4,7,3,7,6,21,0,0,0,0,0,0,0,0,0,0.5857400722021661,Mid Value,Potential Loyalists
6177,1985,29,PhD,Married,33454.0,1,0,1,2013-05-08,417,32,76,10,56,3,1,23,169,2,4,0,4,8,10,0,0,0,0,0,0,0,0,0,0.38064079422382674,Low Value,Low Value
4855,1974,40,PhD,Together,30351.0,1,0,1,2013-06-06,388,19,14,0,24,3,3,2,46,1,3,0,2,9,6,0,0,0,0,0,1,0,1,0,0.15681407942238268,Low Value,Low Value
5899,1950,64,PhD,Together,5648.0,1,1,2,2014-03-13,108,68,28,0,6,1,1,13,49,1,1,0,0,20,2,0,0,1,0,0,0,1,1,0,0.17373646209386281,Low Value,Low Value
387,1976,38,Basic,Married,7500.0,0,0,0,2012-11-13,593,59,6,16,11,11,1,16,61,1,2,0,3,8,6,0,0,0,0,0,0,0,0,0,0.2197653429602888,Low Value,Low Value
2125,1959,55,Graduation,Divorced,63033.0,0,0,0,2013-11-15,226,82,194,61,480,225,112,30,1102,1,3,4,8,2,16,0,0,0,0,0,0,0,0,0,0.7709837545126353,Mid Value,Low Value
8180,1952,62,Master,Divorced,59354.0,1,1,2,2013-11-15,226,53,233,2,53,3,5,14,310,3,6,1,5,6,15,0,0,0,0,0,0,0,0,0,0.4620938628158845,Low Value,Low Value
2569,1987,27,Graduation,Married,17323.0,0,0,0,2012-10-10,627,38,3,14,17,6,1,5,46,1,1,0,3,8,5,0,0,0,0,0,0,0,0,0,0.15681407942238268,Low Value,Low Value
2114,1946,68,PhD,Single,82800.0,0,0,0,2012-11-24,582,23,1006,22,115,59,68,45,1315,1,7,6,12,3,26,1,0,0,0,1,1,2,3,0,0.8425090252707581,High Value,Champions
9736,1980,34,Graduation,Married,41850.0,1,1,2,2012-12-24,552,51,53,5,19,2,13,4,96,3,3,0,3,8,9,0,0,0,0,0,0,0,0,0,0.31227436823104693,Low Value,Low Value
4939,1946,68,Graduation,Together,37760.0,0,0,0,2012-08-31,667,20,84,5,38,150,12,28,317,2,4,1,6,7,13,0,0,0,0,0,0,0,0,0,0.4690884476534296,Low Value,Low Value
6565,1949,65,Master,Married,76995.0,0,1,1,2013-03-28,458,91,1012,80,498,0,16,176,1782,2,11,4,9,5,26,1,0,0,0,0,0,1,1,0,0.9510379061371841,High Value,At-Risk High Value
2278,1985,29,2n Cycle,Single,33812.0,1,0,1,2012-11-03,603,86,4,17,19,30,24,39,133,2,2,1,3,6,8,0,0,0,0,0,0,0,0,0,0.35175992779783394,Low Value,Low Value
9360,1982,32,Graduation,Married,37040.0,0,0,0,2012-08-08,690,41,86,2,73,69,38,48,316,1,4,2,5,8,12,0,0,0,0,0,0,0,0,0,0.4681859205776173,Low Value,Low Value
